City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,isafjordur,66.0755,-23.124,7.02,70,100,4.63,IS,1697555109
223,sao joao da barra,-21.6403,-41.0511,29.05,76,54,6.85,BR,1697554967
224,tchintabaraden,15.8969,5.7985,37.8,13,99,3.38,NE,1697555523
225,st. john's,47.5649,-52.7093,7.1,91,75,6.69,CA,1697554837
226,vrontados,38.4089,26.1328,20.92,64,0,1.54,GR,1697555524
227,nevinnomyssk,44.6267,41.9453,11.84,55,5,2.62,RU,1697555524
228,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,88,75,2.24,RU,1697555150
229,manokwari,-0.8667,134.0833,26.25,78,79,0.79,ID,1697555524
230,yellowknife,62.456,-114.3525,1.34,100,75,2.06,CA,1697554883
231,brookings,44.3114,-96.7984,10.77,87,0,3.09,US,1697554720
232,yeppoon,-23.1333,150.7333,22.88,73,99,9.78,AU,1697554955
233,namibe,-15.1961,12.1522,21.38,65,41,4.57,AO,1697555525
234,limuru,-1.1,36.65,21.55,70,96,4.91,KE,1697555526
235,tejen,37.3834,60.5054,20.39,31,74,7.31,TM,1697555526
236,hachinohe,40.5,141.5,11.51,71,0,5.68,JP,1697555526
237,codrington,-38.2667,141.9667,5.74,91,0,3.24,AU,1697555086
238,port lincoln,-34.7333,135.8667,13.24,76,0,4.47,AU,1697555527
239,tamulte de las sabanas,18.2167,-92.7833,23.38,86,89,2.49,MX,1697555528
240,grand falls-windsor,48.9332,-55.6649,6.95,87,100,1.79,CA,1697555528
241,pacific grove,36.6177,-121.9166,14.75,93,0,3.13,US,1697555528
242,nuku'alofa,-21.1333,-175.2,22.19,83,40,7.2,TO,1697555528
243,city of balikpapan,-1.242,116.8942,28.97,84,20,3.09,ID,1697555529
244,khirkiyan,22.1667,76.85,24.1,62,49,1.83,IN,1697555529
245,queenstown,-31.8976,26.8753,20.29,40,3,3.02,ZA,1697555529
246,poronaysk,49.2167,143.1167,9.05,79,100,7.17,RU,1697555529
247,krasnyy chikoy,50.3643,108.7512,5.13,61,100,5.36,RU,1697555530
248,ar ruways,24.1103,52.7306,29.93,63,0,3.14,AE,1697555530
249,lokot',52.565,34.5776,4.96,57,14,5.02,RU,1697555530
250,kingston,17.997,-76.7936,33.47,63,20,2.06,JM,1697554932
251,flying fish cove,-10.4217,105.6791,25.82,88,100,3.6,CX,1697555017
252,zhuji,29.7188,120.2423,15.65,78,0,0.93,CN,1697555531
253,saint-joseph,-21.3667,55.6167,25.21,84,70,1.24,RE,1697555224
254,papao,-17.75,-149.55,23.82,83,83,8.39,PF,1697555233
255,tommot,58.9564,126.2925,-2.66,99,100,1.33,RU,1697555328
256,shiqian,27.5225,108.2281,18.8,71,17,1.38,CN,1697555532
257,obo,5.3998,26.4869,23.01,89,100,1.96,CF,1697555533
258,chonchi,-42.6128,-73.8092,12.56,61,73,2.23,CL,1697555074
259,skikda,36.8762,6.9092,29.37,37,78,1.68,DZ,1697555533
260,nemuro,43.3236,145.575,10.05,72,99,11.59,JP,1697554871
261,sandnessjoen,66.0217,12.6316,4.12,81,75,2.57,NO,1697555534
262,saipan,15.1355,145.701,27.39,83,0,3.6,MP,1697555103
263,navirai,-23.065,-54.1906,38.59,22,49,4.5,BR,1697555534
264,kayes,14.0,-11.0,35.79,29,4,2.58,ML,1697555535
265,renukut,24.2,83.0333,23.64,71,0,0.92,IN,1697555535
266,nyurba,63.2842,118.3319,-6.65,98,100,1.34,RU,1697555535
267,neon karlovasion,37.7903,26.7044,21.87,69,12,4.99,GR,1697555132
268,gaigeturi,33.4644,126.3183,17.81,66,0,2.32,KR,1697555536
269,east london,-33.0153,27.9116,19.52,77,0,7.2,ZA,1697555536
270,acarau,-2.8856,-40.12,31.88,51,29,7.41,BR,1697555178
271,mata-utu,-13.2816,-176.1745,27.22,79,98,9.62,WF,1697554769
272,tindouf,27.6711,-8.1474,34.25,15,40,6.17,DZ,1697555537
273,borazjan,29.2666,51.2159,30.73,27,49,3.01,IR,1697555537
274,makokou,0.5738,12.8642,23.53,97,98,0.94,GA,1697555537
275,kismayo,-0.3582,42.5454,27.02,81,45,4.93,SO,1697554978
276,nuuk,64.1835,-51.7216,-4.66,50,20,9.26,GL,1697555370
277,suva,-18.1416,178.4415,23.71,83,40,3.09,FJ,1697555442
278,'ain deheb,34.8422,1.547,27.19,16,40,7.28,DZ,1697555538
279,lamu,-2.2717,40.902,28.12,82,100,4.48,KE,1697555539
280,mwinilunga,-11.7358,24.4293,18.78,89,99,1.74,ZM,1697555539
281,nagqu,31.5,92.0,-1.99,82,100,4.0,CN,1697555539
282,salinas,36.6777,-121.6555,15.56,95,40,1.54,US,1697555539
283,susuman,62.7833,148.1667,-20.77,87,6,0.7,RU,1697555132
284,atar,20.5169,-13.0499,38.89,11,95,3.41,MR,1697555540
285,tikrit,34.6071,43.6782,26.59,31,0,2.25,IQ,1697555541
286,ola,59.5833,151.2833,-1.99,65,7,5.93,RU,1697554979
287,andergrove,-21.0833,149.1833,24.25,84,22,6.1,AU,1697555018
288,abu dhabi,24.4667,54.3667,33.3,58,0,3.09,AE,1697555542
289,choibalsan,48.0667,114.5,2.86,43,8,3.22,MN,1697554985
290,lakatoro,-16.0999,167.4164,25.24,87,62,3.6,VU,1697555543
291,mount gambier,-37.8333,140.7667,5.78,92,0,2.07,AU,1697555543
292,sault ste. marie,46.5168,-84.3333,8.16,81,75,2.57,CA,1697555260
293,tanabe,33.7333,135.3667,16.09,72,0,2.33,JP,1697555544
294,arar,30.9753,41.0381,28.01,20,0,0.0,SA,1697555544
295,jumla,29.2747,82.1838,7.68,90,71,1.39,NP,1697555544
296,kuantan,3.8077,103.326,26.3,83,81,1.36,MY,1697555545
297,castillos,-34.1667,-53.8333,15.84,56,30,7.72,UY,1697555113
298,kentau,43.5206,68.5094,14.12,35,5,1.14,KZ,1697555545
299,keflavik,64.0049,-22.5624,10.24,93,100,14.4,IS,1697554964
300,kerikeri,-35.2268,173.9474,17.17,93,100,1.34,NZ,1697555189
301,toliara,-23.35,43.6667,25.02,65,100,5.57,MG,1697555546
302,cascais,38.6979,-9.4215,21.95,95,75,10.73,PT,1697555546
303,adamovka,51.5223,59.9396,13.32,49,0,8.49,RU,1697555546
304,marijampole,54.5667,23.35,9.51,63,46,6.32,LT,1697555547
305,martapura,-3.4167,114.85,27.05,83,40,3.09,ID,1697555547
306,general cabrera,-32.8131,-63.8724,21.68,16,12,4.6,AR,1697555547
307,temiskaming shores,47.4938,-79.7153,0.89,72,9,1.57,CA,1697555548
308,weno,7.4515,151.8468,28.31,74,73,0.3,FM,1697555548
309,cullowhee,35.3137,-83.1765,12.98,77,100,1.54,US,1697555548
310,touros,-5.1989,-35.4608,29.2,56,72,7.65,BR,1697555508
311,zhelezinka,53.54,75.3072,11.8,66,25,2.02,KZ,1697555549
312,machina,13.1364,10.0492,37.82,18,97,4.09,NG,1697555549
313,west end,26.6833,-78.9667,23.99,52,85,5.27,BS,1697555549
314,iskateley,67.6803,53.1512,1.12,89,100,4.02,RU,1697555094
315,al mijlad,11.0333,27.7333,35.78,21,95,4.68,SD,1697555550
316,shingu,33.7333,135.9833,15.6,74,0,2.79,JP,1697555550
317,severo-yeniseyskiy,60.3725,93.0408,0.88,90,94,4.02,RU,1697554996
318,gulf park estates,30.3919,-88.7611,18.01,61,0,1.54,US,1697555550
319,vilyuysk,63.7553,121.6247,-2.12,52,100,5.36,RU,1697555012
320,basoko,1.2391,23.616,28.02,69,88,0.45,CD,1697555551
321,tuzhai,24.983,118.8319,20.83,70,98,5.89,CN,1697555551
322,littlefield,33.9173,-102.3249,16.27,39,0,5.5,US,1697555551
323,massawa,15.6097,39.45,32.16,57,72,3.0,ER,1697555552
324,ventspils,57.3894,21.5606,9.96,87,100,6.17,LV,1697555552
325,waycross,31.2136,-82.354,16.14,68,0,2.57,US,1697555552
326,kapa'a,22.0752,-159.319,24.13,74,0,2.36,US,1697554971
327,tanaina,61.6269,-149.4281,8.71,67,40,0.45,US,1697555553
328,maryville,35.7565,-83.9705,13.09,84,100,2.06,US,1697555438
329,port saint john's,-31.6229,29.5448,19.74,74,37,6.8,ZA,1697555554
330,daru,-9.0763,143.2092,25.34,84,99,4.08,PG,1697555554
331,tallinn,59.437,24.7535,7.75,66,20,2.06,EE,1697555383
332,berdigestyakh,62.0989,126.6992,-4.84,69,100,4.47,RU,1697555554
333,korla,41.7597,86.1469,13.04,31,4,0.79,CN,1697555115
334,greymouth,-42.4667,171.2,5.77,93,66,2.93,NZ,1697555219
335,calbuco,-41.768,-73.1273,9.68,76,27,5.74,CL,1697555555
336,catumbela,-12.4314,13.5472,24.52,74,91,3.24,AO,1697554959
337,al mutayrifi,25.4788,49.5576,34.19,48,0,5.53,SA,1697555555
338,la passe,45.5549,-0.8967,25.57,47,100,7.61,FR,1697555205
339,bengkulu,-3.8004,102.2655,24.59,93,86,1.18,ID,1697555556
340,lompoc,34.6391,-120.4579,21.08,85,20,3.58,US,1697555135
341,dryden,49.7833,-92.7503,6.16,93,0,3.6,CA,1697555556
